"Nombre","Version","Descripcion","OrigenDescripcion","RutaInstalacion","RutaVerificada","OrigenRuta","RolArquitectonico","RolId","CapaEA","AplicacionNegocio","Propietario","Criticidad","EnCatalogoEA","Publicador","FechaInstalacion","DiasDesdeInstalacion","Arquitectura","TipoPaquete","TamanoMB","Ambitos","Origen","ClaveRegistro","Soporte","Riesgo","CategoriaRiesgo"
"VMware Tools","11.3.5.18557794","Build","Registro: Comments","C:\Program Files\VMware\VMware Tools","True","Registro: InstallLocation","Controlador / firmware","ControladorFirmware","Infraestructura","","","","False","VMware, Inc.","2022-06-14","1520","x64","MSI","98.1","Machine-x64","Registry:Uninstall","{1FF5D624-5515-4343-837A-E54C101573E6}","","",""
"Instalador","1.0.0","El artefacto no coincide con ningun rol de la taxonomia. Requiere clasificacion manual por el arquitecto.","Rol arquitectonico (generico)","","False","No determinada","Sin clasificar","SinClasificar","No determinada","","","","False","Default Company Name","2025-02-03","555","x64","MSI","5.6","Machine-x64","Registry:Uninstall","{A7185C08-6D0F-4AF7-8A1E-64AFEAF9F4B9}","","",""
"SSO.TRF.InstaladorAsientosContables","10.0.0","Traslado Asientos Contables","Registro: Comments","","False","No determinada","Sin clasificar","SinClasificar","No determinada","","","","False","REVCOM","2024-01-04","951","x86","MSI","314.2","Machine-x86","Registry:Uninstall","{822EBA5F-DA58-4288-B33F-6484011F7791}","","",""
"Checkmk Agent 2.3","2.3.0p40","Recoleccion de metricas, inventario, telemetria o gestion remota corporativa.","Rol arquitectonico (generico)","","False","No determinada","Agente de monitoreo y gestion","AgenteMonitoreo","Tecnologia","","","","False","Checkmk GmbH","2025-11-24","261","x86","MSI","11","Machine-x86","Registry:Uninstall","{209DCE01-46D4-4131-99E7-1772D2609714}","https://checkmk.com","",""
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.19640.1000_neutral_neutral_cw5n1h2txyewy","","",""
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.FileExplorer_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","c5e2524a-ea46-4f67-841f-6a9465d9d515_10.0.20348.1_neutral_neutral_cw5n1h2txyewy","","",""
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.AppResolverUX_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","E2A4F912-2574-4A75-9BB0-0D023378592B_10.0.19640.1000_neutral_neutral_cw5n1h2txyewy","","",""
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE_10.0.20348.1_neutral_neutral_cw5n1h2txyewy","","",""
"Microsoft.AAD.BrokerPlugin","1000.19580.1000.0","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy","","",""
"Microsoft.AccountsControl","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.AccountsControl_10.0.20348.1_neutral__cw5n1h2txyewy","","",""
